"Organization Name","Date Approved","ASNs","Action 1Filtering","Action 2Anti-Spoofing","Action 3Coordination","Action 4Routing Information","Action 5MANRS Adoption","Action 6Tools"
"404 Network Information Co.","7th Jun 2023","151188, 201445","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","0"
"Akamai Technologies","30th Mar 2020","20940","1","1","1","1 							 							 IRR 						 																0","1","0"
"Alwyzon","24th Apr 2023","40994","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","1"
"Amazon Web Services","30th Mar 2020","16509","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","0"
"Azion Technologies","30th Mar 2020","52580","1","1","1","1 							 							 IRR 						 																0","1","0"
"Biznet Gio","15th Oct 2020","133800","1","1","1","1 							 							 IRR 						 																0","1","1"
"Cloud Himalaya Pvt LTd","16th Dec 2020","135337","1","1","1","1 							 							 IRR 						 																0","1","0"
"Cloudflare","30th Mar 2020","13335","1","1","1","1 							 							 IRR 						 																0","1","1"
"cloudscale.ch","17th Aug 2020","59414","1","1","1","1 							 							 IRR 						 																0","1","0"
"DigitalOcean","17th Dec 2020","14061","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																0","1","0"
"Equinix Metal","28th Jan 2021","54825","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","0"
"Facebook","30th Mar 2020","32934","1","1","1","1 							 							 IRR 						 																0","1","1"
"Fannavaran-e Idea Pardaz-e Saba PJSC","14th Jun 2022","44932","1","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","0"
"GoCache","6th Sep 2021","266444","1","1","1","1 							 							 IRR 						 																0","1","0"
"Google LLC","30th Mar 2020","15169","1","1","1","1 							 							 IRR 						 																0","1","1"
"GreenWeb (IranServer)","13th Sep 2022","61173","1","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","0"
"Hostmein IKE","15th May 2020","50520","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","0"
"Huize Network","9th Sep 2022","61302","1","1","1","1 							 							 IRR 						 																0","1","1"
"Kapteyan Bilisim Teknolojileri San. ve Tic. A.S.","19th Jun 2022","60707","1 							 						 					 											 							 															AS-SET","0","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","1"
"Kerfuffle, LLC","9th May 2023","35008","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","1"
"LoadFront, S.L.","24th Apr 2023","203099","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																0","1","0"
"Microsoft","30th Mar 2020","8075, 8074","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","1"
"NetActuate, Inc","18th Jan 2023","36236","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","1"
"Netflix","30th Mar 2020","2906, 40027, 55095","1","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","1"
"SYNAPSECOM TELECOMS S.A.","23rd Oct 2020","8280","1","1","1","1 							 							 IRR 						 																0","1","0"
"Verisign","24th Jun 2020","7342","1","1","1","1 							 							 IRR 						 																0","1","0"
"Vultr","12th Jun 2020","20473","1 							 						 					 											 							 															AS-SET","1","1","1 							 							 IRR 						 																 							1 							 							 RPKI","1","0"